marketing,ventas
1000,15000
2000,25000
3000,32000
4000,45000
5000,52000
42405,394651
16549,156570
15128,141827
49040,448989
36241,336032
2452,27268
6640,64991
2239,25541
37281,343088
36213,338383
27993,257971
925,13506
10963,103186
10689,99815
14610,138404
6578,63964
25398,239647
40065,372239
17835,167035
35642,317680
8680,84371
36678,334199
19713,184381
24200,218374
38337,350807
43836,401858
15435,144885
15756,140014
7119,68214
24409,227433
11159,104644
17996,168311
46494,432736
40420,365384
42113,388871
11208,108262
30794,272011
42443,400194
45599,405658
4165,42152
15510,146424
26790,239570
18046,172887
37670,349076
47549,428825
26428,248167
42629,383811
16662,155459
49323,443554
38811,352589
28577,265659
14873,137508
9565,90459
3587,37268
7685,74555
45096,414136
28166,255070
39552,357638
31174,273325
1252,16177
45083,408875
35690,318246
49709,451254
7810,76957
19734,179620
47823,438550
47664,433268
12208,117022
33771,317676
20058,182347
42374,382137
25004,229915
11087,101982
35257,320063
537,9757
7831,74686
24288,228567
20653,186839
16192,155383
5661,56569
6113,59825
35411,313988
8741,84699
36531,338272
11321,106563
28230,267624
14380,137684
45711,411429
13682,127660
44519,399114
43090,383108
30088,282702
8430,80876
1878,22004
39055,349132
971,13674
5152,51297
4917,49005
2558,28115
16097,149158
18750,172798
9171,86704
47905,444737
31476,285862
16425,153790
12978,118351
6681,66001
28259,261906
27441,245459
44629,408886
43324,397859
26886,246791
48224,431359
16795,160397
13056,123288
28148,262617
12525,117470
5440,54568
29541,273979
6916,65335
3815,38923
1467,17978
6612,66232
11399,106107
27134,246394
26782,246289
4342,44099
26086,239994
17880,170130
19194,175496
28222,256740
36922,328829
43876,399131
19945,182803
14767,140761
36033,327907
4494,45443
38784,352060
31746,281395
10817,102296
4227,43294
12678,118912
4990,48981
15914,146213
26961,253850
16635,158303
38440,344317
27974,253502
43581,390351
17589,161690
13886,129099
17907,164120
26438,246828
30464,283998
21220,202708
1110,14821
30534,275539
7052,67529
5301,51791
9180,87236
23372,220629
24717,222264
19176,180568
46607,435543
20325,181048
43358,382823
35164,331186
20120,186353
43975,411541
17832,168812
8064,79108
10687,99496
18348,169756
22971,214061
13842,128022
33622,298475
32516,297568
3829,40716
6548,62704
3389,34786
732,11558
17667,165217
11089,104684
28528,256339
37259,342537
45786,417238
10268,94609
38675,349965
36710,337107
20702,192618
24397,229828
3114,32532
23949,221216
7236,70920
23678,219489
27132,240889
41175,375528
16014,143647
11149,108358
27520,251558
2124,24426
27482,260800
44403,412610
17985,163153
10933,103579
3037,32121
31347,288615
30666,289339
23415,213608
15415,147608
15109,142449
22012,203428
18758,178657
18792,168588
23512,214362
35641,321575
22202,206348
17618,163074
12202,110230
3007,31436
7604,72572
21057,192854
29099,262787
25744,233835
38287,350219
29077,267915
610,10325
45513,413072
47648,444700
13412,124502
24369,216224
22139,207639
41339,372346
47669,446796
20181,182144
21876,201666
26871,245170
13072,120290
28054,255392
49529,444518
11905,111014
36409,329613
526,9716
38509,355323
40258,363515
29477,266207
44777,409712
48731,451640
11620,108808
44006,396521
41980,380778
49726,450284
15892,147235
13550,125667
10156,97532
31638,290285
40560,371427
27660,252633
41772,372079
25664,233170
32899,298838
45564,417352
863,12967
7485,70973
28362,261752
46107,432212
