antiguedad,cuota_mensual,fuga
15,23,0
32,48,1
14,106,1
70,31,0
5,23,1
30,84,0
72,45,0
70,73,0
36,20,0
21,109,1
36,39,0
44,33,0
13,65,0
34,25,0
69,35,0
49,30,0
47,93,1
9,25,0
38,30,0
13,68,1
47,40,0
27,105,1
10,97,1
69,113,0
60,68,0
72,48,0
8,49,0
41,71,0
28,92,0
41,47,0
51,102,0
34,37,0
72,88,0
55,94,0
29,37,0
12,116,1
15,39,0
55,96,1
49,96,0
68,52,0
2,107,1
69,116,0
44,34,0
21,78,1
34,84,0
65,33,0
39,101,1
26,39,0
21,89,0
68,20,0
63,22,0
47,59,0
31,92,0
11,113,1
9,117,1
17,36,0
71,41,0
55,47,0
26,111,1
48,76,0
58,35,0
9,63,1
71,49,0
1,29,0
8,49,1
5,62,1
31,55,0
28,89,1
61,51,0
53,44,0
56,65,0
60,113,1
13,27,0
44,33,0
25,88,1
55,43,0
32,29,0
71,32,0
70,21,0
31,41,0
62,47,0
8,41,1
50,53,0
59,56,0
72,104,0
20,44,0
8,94,1
8,115,1
7,94,1
68,40,0
66,30,0
9,96,1
31,71,1
32,94,1
11,73,1
67,60,0
27,105,1
31,53,0
39,78,1
10,21,0
13,29,0
65,53,0
45,28,0
48,56,0
70,110,0
68,21,0
71,58,0
14,37,1
14,115,1
35,56,0
44,46,0
34,84,1
7,31,0
36,25,1
17,101,0
21,114,1
55,91,1
10,108,1
70,24,0
71,38,0
6,59,1
6,65,1
32,105,1
72,72,0
20,50,0
23,72,1
43,120,0
32,54,1
14,68,0
61,48,0
59,64,0
30,48,1
25,71,1
9,118,1
66,71,0
69,62,0
15,53,1
34,24,0
56,64,0
41,75,0
66,34,0
25,52,1
56,20,0
69,107,0
26,66,0
43,99,1
16,112,1
65,59,0
42,71,0
71,36,0
49,106,0
23,98,1
52,90,0
39,56,0
42,79,0
28,85,1
22,104,1
66,104,0
43,31,0
31,106,1
26,38,1
32,80,0
10,78,1
25,111,1
64,71,0
1,116,1
14,119,1
23,109,1
7,91,1
16,78,1
60,105,0
72,96,0
57,98,0
65,74,0
71,77,0
61,77,0
32,101,1
67,82,0
36,76,1
37,50,0
41,89,1
20,49,0
20,110,1
54,72,0
60,73,1
54,69,0
3,117,1
62,20,0
39,116,1
54,88,0
70,97,0
63,48,0
63,23,0
52,112,1
60,36,0
69,23,0
4,30,0
18,79,1
34,68,0
59,61,0
49,55,0
54,52,0
61,22,0
7,64,1
9,119,1
6,116,1
32,45,0
20,50,1
15,92,0
60,109,1
48,41,0
15,119,1
40,33,0
40,93,0
49,70,0
26,29,0
32,33,0
39,107,1
16,92,1
45,88,0
48,28,0
44,21,0
63,33,0
47,101,0
59,110,1
23,113,1
35,98,0
69,119,0
56,113,0
42,51,0
12,55,0
32,116,1
49,63,1
42,43,0
46,53,0
36,91,1
25,30,0
53,82,0
31,108,1
63,77,0
12,57,1
32,59,0
48,80,0
45,74,0
71,62,0
59,54,0
30,35,0
41,35,0
24,44,1
62,55,0
68,96,0
13,44,1
47,42,0
69,36,0
7,90,1
17,101,1
63,33,0
37,80,0
44,43,0
33,81,1
9,71,1
7,39,1
39,30,0
16,91,1
29,119,1
58,76,0
55,59,0
8,98,0
13,117,1
28,53,0
21,50,1
10,40,1
58,108,0
38,24,0
37,109,0
10,107,1
34,120,1
26,74,1
29,102,1
35,38,1
22,59,0
37,76,1
39,109,1
35,84,0
57,30,0
56,114,1
33,23,0
3,117,1
35,93,1
23,80,1
57,55,0
56,101,0
12,80,1
43,61,0
21,62,1
64,56,0
52,117,0
59,31,0
42,34,0
52,85,0
1,104,1
60,72,1
67,66,0
64,100,0
7,46,1
17,56,1
63,35,0
31,110,1
71,21,0
12,48,0
15,79,0
20,83,0
38,85,0
54,81,0
32,78,0
50,44,0
66,115,0
9,55,0
54,63,0
65,54,0
37,112,1
63,39,0
62,64,0
70,68,0
42,44,0
31,93,1
53,25,0
61,110,0
49,69,0
20,83,0
17,84,0
43,32,0
57,32,0
59,21,0
53,103,0
10,80,1
34,63,0
51,103,1
43,106,0
49,60,0
