experiencia,estudios,salario
21,1,3632
24,3,4705
8,2,2737
4,5,2824
19,4,4296
1,1,1331
8,5,3568
1,5,2521
23,5,5274
8,4,3261
9,1,2568
26,2,4877
14,3,3522
5,2,2390
11,1,2467
13,1,2843
28,3,5369
9,1,2553
15,5,4163
30,4,5640
18,3,4181
20,3,4395
7,1,1963
22,2,4435
10,1,2419
28,1,4654
9,4,3405
27,3,5023
12,3,3247
22,3,4699
30,1,5011
21,2,4193
24,2,4363
15,4,3938
30,5,6012
22,3,4733
25,1,4217
27,1,4501
13,3,3293
7,5,3507
11,2,3055
16,4,4249
15,2,3335
5,2,2381
18,5,4594
24,5,5399
29,5,5984
12,2,2910
17,4,4086
25,1,4156
5,2,2348
14,5,4012
13,4,3865
15,5,4228
18,1,3608
24,1,4329
29,5,6164
9,3,2837
10,4,3280
15,1,3269
29,3,5436
25,2,4659
30,1,5020
10,5,3811
7,2,2431
25,2,4676
25,5,5300
20,3,4350
1,1,1405
29,3,5302
2,2,1930
3,1,1834
16,1,3409
18,2,3625
22,4,4921
6,3,2690
28,5,5876
7,5,3526
24,2,4645
10,4,3543
21,3,4444
29,5,6011
4,2,1995
3,3,2070
19,5,4697
19,2,3683
3,1,1577
3,1,1629
3,5,2781
9,4,3189
18,2,3930
30,5,6195
16,2,3562
26,4,5217
4,1,1917
14,3,3596
14,4,4053
2,1,1371
13,3,3315
8,2,2457
18,4,4231
14,2,3222
15,2,3238
15,5,4150
2,5,2547
3,2,1845
14,4,3926
7,4,2870
6,4,2721
13,3,3492
10,4,3556
24,5,5518
23,4,4839
7,3,2651
2,5,2916
18,1,3642
11,1,2445
19,4,4537
30,5,5980
2,5,2581
28,2,4795
20,1,3845
28,2,4966
4,5,2906
19,5,4600
20,1,3714
22,5,5229
17,3,3873
7,3,2662
9,4,3147
22,3,4574
11,1,2424
15,5,4388
4,1,1855
7,5,3275
5,3,2335
29,2,5069
10,2,2824
27,5,5900
10,5,3834
17,1,3481
27,5,5693
30,1,4768
9,1,2234
24,5,5259
9,3,3089
7,3,2644
22,3,4598
16,3,3646
3,4,2501
2,1,1510
25,2,4726
9,2,2859
15,5,4461
14,5,3984
4,1,1933
29,2,5159
2,3,2238
18,2,3780
5,1,1857
12,1,2723
7,2,2581
4,3,2579
18,4,4477
24,2,4401
28,2,4850
29,4,5492
6,3,2820
30,4,5942
28,2,4896
6,1,2015
28,1,4700
8,2,2595
12,3,3256
8,1,2397
7,4,3008
9,1,2575
9,3,3108
17,4,4387
27,5,5709
1,1,1353
6,5,3155
2,1,1645
14,3,3753
26,3,5043
20,5,4759
13,5,3957
9,1,2542
14,1,3046
30,5,6251
24,2,4466
14,1,3120
30,3,5619
11,1,2788
29,3,5439
10,4,3367
13,3,3543
5,2,2215
22,4,4986
24,2,4595
19,3,4187
18,1,3415
10,2,2820
26,5,5730
21,3,4458
15,4,4145
7,5,3382
26,2,4857
3,3,2323
22,5,5111
3,2,2104
10,2,2701
5,1,1723
8,4,3272
28,1,4693
14,5,4079
23,4,5013
13,2,3035
21,1,4004
28,1,4858
14,2,3170
26,5,5657
2,5,2667
30,1,4933
5,4,2941
17,5,4644
11,4,3633
27,5,5758
27,5,5768
29,2,5260
28,4,5590
9,2,2806
9,5,3628
21,2,4060
15,1,3265
10,2,2739
11,3,3296
3,2,1837
8,4,3315
5,2,2032
14,4,3849
18,4,4372
2,2,1855
13,5,4216
1,5,2614
16,1,3200
10,4,3414
18,5,4768
29,2,5129
8,3,2883
16,1,3219
11,4,3690
6,4,2785
20,5,4713
30,4,5903
19,1,3422
21,4,4589
28,4,5453
2,3,2134
11,2,2952
11,3,3409
29,4,5622
25,4,5129
27,1,4580
1,5,2446
12,2,3172
3,1,1846
1,2,1622
27,1,4658
5,2,2064
16,1,3308
7,4,3198
9,3,2865
20,5,5082
23,1,4258
27,2,4799
4,5,2793
30,3,5594
22,4,4843
23,2,4198
19,2,3732
23,3,4810
20,1,3789
26,1,4397
18,4,4498
12,1,2799
21,3,4226
28,4,5610
4,4,2665
21,4,4882
5,4,2690
24,5,5513
9,5,3655
25,4,5238
14,5,4117
11,2,2764
9,4,3204
25,4,5291
20,4,4572
1,4,2286
6,4,2828
12,3,3314
9,5,3739
29,3,5464
1,5,2517
3,2,2128
14,4,3964
25,2,4753
16,4,4149
26,1,4267
10,2,2807
23,2,4316
22,5,5128
16,5,4491
12,4,3821
18,3,4040
23,4,4898
10,3,3018
4,2,2041
4,5,3170
23,2,4258
7,4,2981
24,5,5569
17,5,4484
4,2,2031
8,3,2751
10,1,2662
18,2,3700
2,1,1623
10,2,2926
28,4,5412
28,1,4753
10,4,3445
15,3,3594
2,3,2184
4,1,1785
16,1,3315
21,1,3697
5,5,3055
3,2,1820
18,4,4470
20,5,4815
25,5,5494
15,4,3952
28,5,5879
10,5,3817
2,5,2918
4,2,2200
7,3,2878
3,2,1882
6,5,3058
6,1,2029
15,5,4340
10,1,2418
10,3,3259
28,4,5396
22,2,4175
26,5,5758
26,2,4737
4,5,2895
21,2,4056
27,2,4676
2,2,1797
20,5,4847
15,1,3139
23,3,4818
13,3,3516
18,4,4384
3,5,2680
